Name,Date,DNominal,DMinimum,Vrelative,Vinfinity,H,Diameter
2019 GW5,2019-Apr-03 08:31 ± < 00:01,9.48 | 0.02437,9.44 | 0.02425,6.74,6.73,26.7,12 m -   27 m,bK19G05W
2019 GW1,2019-Apr-04 09:43 ± < 00:01,3.36 | 0.00863,3.36 | 0.00862,7.19,7.14,26.1,16 m -   36 m,bK19G01W
2019 GM1,2019-Apr-04 10:55 ±    00:07,7.87 | 0.02021,7.81 | 0.02006,4.39,4.36,27.4,8.7 m -   19 m,bK19G01M
2019 FW1,2019-Apr-04 15:36 ±    00:02,16.69 | 0.04288,16.50 | 0.04239,8.30,8.29,26.4,14 m -   30 m,bK19F01W
2019 GJ4,2019-Apr-04 23:37 ± < 00:01,2.66 | 0.00684,2.66 | 0.00683,5.91,5.84,25.9,18 m -   39 m,bK19G04J
2016 GE1,2019-Apr-05 06:21 ± < 00:01,2.86 | 0.00734,2.86 | 0.00734,10.09,10.05,26.6,13 m -   28 m,bK16G01E
2019 GU1,2019-Apr-06 04:03 ± < 00:01,1.64 | 0.00421,1.63 | 0.00418,17.37,17.33,27.3,9.0 m -   20 m,bK19G01U
2019 FV,2019-Apr-06 13:33 ± < 00:01,14.94 | 0.03840,14.76 | 0.03794,7.71,7.70,23.9,44 m -   99 m,bK19F00V
2019 GU5,2019-Apr-06 16:34 ± < 00:01,6.10 | 0.01568,6.09 | 0.01566,4.76,4.72,27.8,7.3 m -   16 m,bK19G05U
2019 GJ3,2019-Apr-06 18:04 ± < 00:01,3.05 | 0.00784,3.05 | 0.00783,5.89,5.84,28.2,6.1 m -   14 m,bK19G03J
2019 FY2,2019-Apr-07 03:30 ±    00:20,19.40 | 0.04986,19.29 | 0.04956,3.92,3.91,27.4,8.9 m -   20 m,bK19F02Y
2019 GT,2019-Apr-07 12:36 ± < 00:01,3.48 | 0.00895,3.47 | 0.00891,15.59,15.57,26.5,13 m -   30 m,bK19G00T
2019 GS,2019-Apr-07 16:50 ± < 00:01,1.07 | 0.00275,1.07 | 0.00275,12.72,12.65,26.7,12 m -   27 m,bK19G00S
2019 GM20,2019-Apr-07 19:00 ± < 00:01,12.30 | 0.03161,12.26 | 0.03150,7.85,7.84,25.9,18 m -   40 m,bK19G20M
2019 FS2,2019-Apr-08 03:04 ± < 00:01,3.18 | 0.00817,3.18 | 0.00816,6.22,6.17,27.4,8.8 m -   20 m,bK19F02S
2019 GR,2019-Apr-08 10:46 ± < 00:01,11.34 | 0.02913,11.31 | 0.02907,5.70,5.69,25.6,20 m -   44 m,bK19G00R
2019 GC,2019-Apr-08 21:19 ± < 00:01,6.22 | 0.01597,6.19 | 0.01590,6.63,6.60,26.6,13 m -   29 m,bK19G00C
2019 GQ19,2019-Apr-08 21:48 ± < 00:01,10.77 | 0.02769,10.75 | 0.02761,9.27,9.26,24.4,36 m -   80 m,bK19G19Q
2019 FU,2019-Apr-09 10:34 ± < 00:01,5.31 | 0.01363,5.29 | 0.01359,14.19,14.18,23.1,64 m -  140 m,bK19F00U
2014 UR,2019-Apr-09 11:25 ± < 00:01,12.95 | 0.03329,12.95 | 0.03329,4.57,4.55,26.6,13 m -   28 m,bK14U00R
2019 GS20,2019-Apr-09 16:38 ± < 00:01,14.13 | 0.03630,14.08 | 0.03618,8.32,8.31,25.6,21 m -   46 m,bK19G20S
2016 GW221,2019-Apr-10 14:10 ± < 00:01,10.38 | 0.02668,10.38 | 0.02668,5.27,5.25,24.8,29 m -   65 m,bK16GM1W
2019 GQ,2019-Apr-10 21:09 ± < 00:01,5.17 | 0.01329,5.15 | 0.01323,8.45,8.42,26.6,13 m -   29 m,bK19G00Q
2019 GT19,2019-Apr-11 03:15 ± < 00:01,2.09 | 0.00538,2.09 | 0.00537,10.68,10.64,27.4,8.7 m -   19 m,bK19G19T
2019 GP19,2019-Apr-11 04:37 ± < 00:01,5.49 | 0.01410,5.48 | 0.01407,4.06,4.01,26.6,13 m -   28 m,bK19G19P
2019 GS19,2019-Apr-11 07:34 ± < 00:01,1.93 | 0.00497,1.93 | 0.00496,13.90,13.86,25.6,20 m -   44 m,bK19G19S
2019 GK21,2019-Apr-11 09:50 ± < 00:01,1.19 | 0.00305,1.18 | 0.00304,9.22,9.13,25.6,20 m -   45 m,bK19G21K
2014 HD177,2019-Apr-11 12:05 ± < 00:01,10.75 | 0.02763,10.75 | 0.02763,14.50,14.49,22.7,77 m -  170 m,bK14HH7D
2019 GV5,2019-Apr-11 15:53 ± < 00:01,1.70 | 0.00436,1.70 | 0.00436,3.90,3.74,29.4,3.5 m -  7.9 m,bK19G05V
2019 GE1,2019-Apr-11 21:03 ±    00:02,3.86 | 0.00992,3.85 | 0.00988,6.52,6.48,27.2,9.7 m -   22 m,bK19G01E
2019 GH19,2019-Apr-11 21:54 ± < 00:01,16.84 | 0.04326,16.78 | 0.04311,8.64,8.63,25.6,20 m -   45 m,bK19G19H
2019 GY5,2019-Apr-11 23:38 ± < 00:01,5.93 | 0.01522,5.89 | 0.01514,27.25,27.25,25.7,20 m -   44 m,bK19G05Y
2019 GN20,2019-Apr-12 07:06 ± < 00:01,0.98 | 0.00253,0.98 | 0.00252,14.81,14.74,26.4,14 m -   31 m,bK19G20N
2019 GU20,2019-Apr-12 07:45 ± < 00:01,6.18 | 0.01588,6.16 | 0.01582,16.77,16.76,25.4,22 m -   49 m,bK19G20U
